Stockholder,Stake,Sharesowned,Total value ($),Sharesbought / sold,Totalchange,Symbol
Massachusetts Financial Services ...,1.55%,11541153,1903713187,-1051677,-8.35%,AXP
Geode Capital Management LLC,1.41%,10458404,1725113740,177635,+1.73%,AXP
Managed Account Advisors LLC,1.11%,8229862,1357515737,262463,+3.29%,AXP
"The Vanguard Group, Inc.",12.72%,39553195,1426288212,-49775,-0.13%,APA
"SSgA Funds Management, Inc.",7.14%,22210316,800903995,-340099,-1.51%,APA
BlackRock Fund Advisors,6.42%,19964743,719928633,245836,+1.25%,APA
Hotchkis & Wiley Capital Manageme...,3.56%,11072294,399266922,-702374,-5.97%,APA
Harris Associates LP,3.26%,10125907,365140206,-3228203,-24.17%,APA
"Invesco Advisers, Inc.",2.65%,8228526,296720648,-692108,-7.76%,APA
Geode Capital Management LLC,2.37%,7366355,265630761,-54852,-0.74%,APA
Invesco Capital Management LLC,1.75%,5440336,196178516,2284368,+72.38%,APA
"Merrill Lynch, Pierce, Fenner & S...",1.41%,4385317,158134531,132242,+3.11%,APA
"Northern Trust Investments, Inc.(...",1.21%,3768985,135909599,-27549,-0.73%,APA
"The Vanguard Group, Inc.",7.68%,1214687196,200301918620,5529729,+0.46%,AAPL
"Berkshire Hathaway, Inc. (Investm...",5.66%,895136175,147607955258,333856,+0.04%,AAPL
BlackRock Fund Advisors,4.25%,672764314,110938835379,-5161273,-0.76%,AAPL
"SSgA Funds Management, Inc.",3.71%,586857405,96772786085,-4686469,-0.79%,AAPL
Geode Capital Management LLC,1.79%,282749817,46625444823,2991299,+1.07%,AAPL
Fidelity Management & Research Co...,1.79%,282494517,46583345853,-29541058,-9.47%,AAPL
"T. Rowe Price Associates, Inc. (I...",1.43%,226281368,37313797583,1417827,+0.63%,AAPL
Norges Bank Investment Management,1.06%,167374278,27600018442,25297875,+17.81%,AAPL
"Northern Trust Investments, Inc.(...",0.99%,156133295,25746380346,-2274931,-1.44%,AAPL
BlackRock Investment Management (...,0.63%,100265332,16533753247,-7789782,-7.21%,AAPL
Capital Research & Management Co....,11.51%,116385242,3358878084,-7638017,-6.16%,BKR
"The Vanguard Group, Inc.",11.46%,115916476,3345349497,501352,+0.43%,BKR
Capital Research & Management Co....,10.08%,101969526,2942840520,-11235167,-9.92%,BKR
"SSgA Funds Management, Inc.",6.64%,67108128,1936740574,403173,+0.60%,BKR
BlackRock Fund Advisors,4.98%,50396169,1454433437,2799198,+5.88%,BKR
"JPMorgan Investment Management, I...",3.86%,39028605,1126365540,1653664,+4.42%,BKR
Dodge & Cox,3.07%,31006837,894857316,7092483,+29.66%,BKR
Geode Capital Management LLC,2.07%,20895357,603040003,85567,+0.41%,BKR
FIL Investment Advisors (UK) Ltd.,1.98%,20017261,577698152,-1657393,-7.65%,BKR
Fidelity Management & Research Co...,1.81%,18335116,529151448,2919909,+18.94%,BKR
"The Vanguard Group, Inc.",8.12%,17431061,3628449658,147862,+0.86%,ADSK
BlackRock Fund Advisors,4.92%,10569441,2200134839,438174,+4.32%,ADSK
"SSgA Funds Management, Inc.",3.91%,8388072,1746061068,-88649,-1.05%,ADSK
Polen Capital Management LLC,3.68%,7907485,1646022078,-517423,-6.14%,ADSK
"Loomis, Sayles & Co. LP",3.20%,6873634,1430815653,-413306,-5.67%,ADSK
Fidelity Management & Research Co...,3.04%,6525424,1358332260,153233,+2.40%,ADSK
Aristotle Capital Management LLC,2.34%,5023896,1045774191,-193143,-3.70%,ADSK
Ninety One UK Ltd.,2.02%,4328523,901025348,-54485,-1.24%,ADSK
Brown Advisory LLC,1.95%,4179273,869957468,-83092,-1.95%,ADSK
Geode Capital Management LLC,1.83%,3926305,817299649,72350,+1.88%,ADSK
"The Vanguard Group, Inc.",8.69%,43968180,8671404460,111787,+0.25%,ADI
BlackRock Fund Advisors,4.93%,24958610,4922337064,485600,+1.98%,ADI
"SSgA Funds Management, Inc.",3.99%,20165759,3977090990,-91227,-0.45%,ADI
